Mass,RT
290.2009,10.35
290.2249,9.84
290.4535,5.46
290.9704,5.15
291.0317,4.11
291.1699,3.75
291.2197,8.37
291.6722,3.85
291.9422,1.03
291.978,4.84
291.9784,1.47
292.0143,4.52
292.0793,3.56
292.0952,1.1
292.0956,2.68
292.1309,3.24
292.1672,3.98
292.168,5.39
292.1686,5.93
292.1872,4.2
292.188,3.46
292.2035,10.1
292.2036,6.51
292.2063,7.59
292.2065,4.64
292.2389,10.88
292.9816,1.48
293.1014,2.85
293.1309,3.29
293.1635,4.38
293.1705,4.04
293.1996,6.62
293.2069,10.09
293.235,8.61
293.9591,4.7
293.9671,4.57
293.9749,1.52
293.9785,2.08
293.9795,3.63
293.9884,3.93
293.9901,5.75
293.9937,4.13
294.1104,1.1
294.1104,2.74
294.1261,2.75
294.1463,3.99
294.1464,3.45
294.1465,2.91
294.1669,2.55
294.183,5.44
294.1833,10.56
294.1852,6.36
294.1862,8.5
294.2042,7.71
294.2185,7.98
294.219,7.15
294.2192,9.78
294.9492,4.7
295.0723,4.64
295.1422,2.56
295.1861,10.56
295.1863,5.44
295.1894,8.5
295.2197,5.22
295.9236,2.68
295.9729,5.09
295.9892,4.92
295.9892,6.62
295.9895,3.12
296.0172,5.07
296.0896,2.58
296.0898,1.09
296.1259,1.1
296.1259,2.82
296.1259,3.36
296.144,6.74
296.1619,2.71
296.1621,3.34
296.1621,3.81
296.1654,8.3
296.1834,8.5
296.1979,5.65
296.1984,6.25
296.2347,7.66
296.2347,8.62
296.2351,5.64
296.2711,10.89
296.9563,5.05
296.9712,5.15
297.0925,8.34
297.1265,2.44
297.1286,1.1
